,Difference (|)
1221,-38.321628496543205
1222,-28.624982428302623
1223,-31.222841341327925
1224,-26.718002707697448
1225,-25.460685014028073
1226,-32.33796002283524
1227,-38.790208478883606
1228,-30.358924335564733
1229,-23.773707691366585
1230,-31.258975912083596
1231,-25.474581128779107
1232,-36.4515100814854
1233,-33.350135198002675
1234,-42.25319202215885
1235,-38.23688461190069
1236,-30.342542873097575
1237,-46.942089112115085
1238,-36.894901905591354
1239,-40.432593897653746
1240,-30.483237690079367
1241,-27.53120870668476
1242,-38.77281908310755
1243,-37.40146918665065
1244,-33.20429563311243
1245,-35.37251829285283
